Name,Full Description,Category,Email,Website,Facebook,Instagram,Twitter,YouTube,LinkedIn
8584148991,Email:,,,,,,,,
"Bruin Archives is a student-led initiative designed to foster interconnectedness, diversity, and inclusivity among UCLA students. Inspired by The Strangers Project in New York, this project provides a platform for students to share their unique stories anonymously through writing, creating a shared space of empathy and understanding on campus.",Category:,,,,,,,,
"Service - Community Involvement, Student Government - USAC Affiliated",Email:,,,,,,,,
The DGSOM Medical Student Council (MSC) provides reasonable and effective student governance for the students of the David Geffen School of Medicine at UCLA. The MSC serves as the representative voice of the student body and as a mechanism for interaction with The David Geffen School of Medicine faculty and staff. It provides programs and services that assist in the completion of the educational mission of the School of Medicine.,Category:,,,,,,,,
"Student Government, Medical",Email:,,,,,,,,
"We represent all engineering departments in student government- including voting, throwing events, and managing tuition derived budget.",Category:,,,,,,,,
"Student Government, Engineering",Email:,,,,,,,,
We are an association of graduate students in the UCLA Department of History.,Category:,,,,,,,,
"Academic, Student Government - GSA Affiliated",Email:,,,Humanities Council,,,,,
"Humanities Council is one of the thirteen academic councils under the umbrella of the Graduate Student Association. Membership of this organization consists of UCLA graduate students in the departments of Asian Languages & Cultures, Applied Linguistics, Art History, Classics, Comparative Literature, English, European Languages and Transcultural Studies (French and Francophone Studies, Germanic Languages, Italian, Scandinavian) Indo-European Studies, Linguistics, Musicology, Near Eastern Languages and Cultures, Philosophy, Slavic, East European & Eurasian Languages, and Spanish & Portuguese. We represent humanities graduate students at GSA Forum meetings, allocate funds provided by GSA, and foster intradepartmental, interdepartmental, and divisional actives.",Category:,,,,,,,,
"Academic, Student Government - GSA Affiliated",Email:,,,,,,,,
"The purpose of the Public Health Student Association (PHSA) is to serve the academic and social needs of its members; act as a liaison between graduate students, administration, staff, and faculty of the Fielding School of Public Health; promote community involvement among association members; and advance the field of public health through education, advocacy, and professional activities.",Category:,,,,,,,,
"Student Government - GSA Affiliated, Social",Email:,,,,,,,,
"The Public Policy Leadership Association (PPLA) is a student organization representing and advocating for the interests of public policy students. The PPLA advances the mission to foster an accommodating, inclusive, and equitable learning environment for all UCLA MPP students. To further promote the interest of the students, the PPLA incorporates Public Policy administration and student leaders from different Luskin Caucus organizations. Every UCLA MPP student is a member of PPLA and is invited to attend and participate in PPLA events.",Category:,,,,,,,,
"Leadership, Student Government",Email:,,,,,,,,
"The School of the Arts and Architecture Council is part of the Graduate Student Association. The Graduate Student Association is a student-run, ASUCLA-affiliated organization that sponsors a variety of social, academic, and community programs.",Category:,,,,,,,,
"Student Government, GSA Affiliated",Email:,,,"SOLE Test 05/21 \`~!@#$%^&()-\_+=\[\]{};',.",,,,,
SOLE Test Team,Category:,,,,,,,,
"Student Government, Academic",Email:,,,Spanish & Portuguese Graduate Student Association,,,,,
"The Spanish & Portuguese Graduate Student Association (SPGSA) acts as a bridge between graduate students, our faculty colleagues, and the wider UCLA community. Members of this annually elected student organization represent Spanish & Portuguese graduate students at faculty meetings, Humanities Council meetings, and with the departmental Graduate Affairs Committee and Lower Division Council. SPGSA organizes 1-2 meetings per quarter to discuss issues relevant to graduate students, to share career planning and academic professionalization information with peers, and to create a social forum to involve new and continuing graduate students in our scholarly community.",Category:,,,,,,,,
"Academic, Student Government",Email:,,,,,,,,
"As part of the USAC Student Wellness Commission, BruiNecessities looks to support UCLA students by raising awareness to the lack of basic resources available on campus, and seeks to fill these gaps, by working with different entities on campus to bring programs and services to students. BN was initiated from two unaddressed needs on campus: the service of free menstrual hygiene products and oral health screenings - but the committee's reach goes beyond in addressing hygiene, food insecurity, etc.",Category:,,,,,,,,
"Health and Wellness, Student Government - USAC Affiliated",Email:,,,,,,,,
"SWC EARTH (Environmental Awareness, Recycling, and Terrestrial Health) promotes sustainability in the student lifestyle through projects in collaboration with other UCLA organizations throughout the year. We educate students on environmental issues, put on activities and programs to promote sustainable habits, and spearhead projects committed to making environmental change on campus. Environmental health = public health!",Category:,,,,,,,,
"Environmental, Student Government - USAC Affiliated",Email:,,,,,,,,
"Health, Nutrition & Fitness (HNF) is a committee under UCLA’s USAC Student Wellness Commission that is dedicated to educating the student body about proper nutrition, fitness, and health. HNF’s goal is to improve student welfare by teaching students how to incorporate healthy habits into their everyday routines. HNF can be seen as a Health – Nutrition – Fitness triangle. If one or more elements of the triangle are missing, the triangle is incomplete and the body suffers. Through unique programs and events, HNF focuses on bringing together all the elements of the triangle to provide students with a truly holistic approach to life.",Category:,,,,,,,,
"Health and Wellness, Student Government - USAC Affiliated",Email:,,,,,,,,
"The Student Wellness Commission (SWC) Planned Parenthood Chapter @ UCLA is a student committee that aims to provide a platform for students to be better activists for reproductive health as well as educate the undergraduate student population on accessing reproductive healthcare. Through our comprehensive education programs and continued support from Planned Parenthood Los Angeles, we aim to address students’ reproductive health resource demands, connect students to local Planned Parenthood health centers, as well as mobilize the student body on issues affecting sexual health and reproductive rights. The SWC Planned Parenthood Chapter @ UCLA strives to not only keep the student body informed of current reproductive health issues, but also to empower them to make well-informed decisions for their own bodies.",Category:,,,,,,,,
"Medical, Student Government - USAC Affiliated",Email:,,,,,,,,
"SEARCH: Student Education and Research on Contemporary Health—our name says it all. We know that there is a lot of research out there on health issues that are currently plaguing college students, but we want to cater out research and solutions specifically for the UCLA student body. Being a college student requires juggling academics, extra-curricular activities, work, friends, and family among a myriad of other things. Sometimes the health of the student gets pushed in the backseat in order to deal with these tasks, and students become sleep-deprived, consume energy drinks, abuse academic performance enhancement drug, and much, much more. Our goal is to find research studies and conduct our own research about healthy living styles and healthy alternatives to common choices and to disseminate this research to the UCLA student body so we can arm them with the tools they need to make the decisions that are best for them not only now, but also for the future.",Category:,,,,,,,,
"Health and Wellness, Student Government - USAC Affiliated",Email:,,,,,,,,
"Total Wellness is currently a division of the Student Wellness Commission. Total Wellness Magazine is a continuing endeavor started by the Student Welfare Commission in the 90's and refounded in 2009. The organization has come a long way since its humble roots as a quarterly newsletter and has since been committed to building a quality magazine publication replete with a highly trained and talented staff of writers and designers, internal review board, and medical review board of UCLA MDs, PhDs, RDs, and other UCLA health experts and professionals.",Category:,,,,,,,,
"Health and Wellness, Student Government - USAC Affiliated",Email:,,,Social Media:,,,,,
USA Elections Board facilitates free and fair elections for USAC.,Category:,,,,,,,,
"Student Government - USAC Affiliated, Leadership",Email:,,,,,,,,
To advocate on behalf of the UCLA undergraduate body to the administration on all issues affecting academic life.,Category:,,,,,,,,
"Student Government - USAC Affiliated, Academic",Email:,,,USAC Campus Events Commission,,,,,
"Since 1965 Campus Events Commission (CEC) has been one of the largest purveyors of campus entertainment. Since its inception, it has acquired a reputation for its edgy style of advertising and controversial events. Still pushing the envelope today, CEC has remained a student-run, student-funded organization, dedicated to introducing and the finest fare in film, music and speakers into the UCLA community. Be it media seen or heard, Campus Events Commission is constantly in search of that which is as evocative and diverse as its audience. Come to one of our many events!",Category:,,,,,,,,
"Student Government - USAC Affiliated, Music",Email:,,,Social Media:,,,,,
"The Cultural Affairs Commission is one out of the fourteen offices in USAC, the Undergraduate Student Association Council. The mission of the Cultural Affairs Commission (CAC) is to put on quality programming with cultural, political, or social relevance that is accessible to all students. The commission is focused on “edutainment” (education + entertainment), arts activism, fostering community spaces centering marginalized communities and student-run programs that: ignite dialogue regarding current events, facilitate an exhibition of creativity, and promote cultural opportunities on campus.",Category:,,,,,,,,
"Student Government - USAC Affiliated, Cultural/Ethnic",Email:,,,Social Media:,,,,,
"We seek to serve you, the students! As the representative organization for over 1000+ student organizations at UCLA, we are accordingly interested in promoting the varied interests of this diverse body. We recognize that this objective may seem formidable, ambitious even. After all, it is difficult to represent such a disparate array of clubs, teams and organizations. However, rather than bemoan such a daunting task, we are instead committed to embracing this immense diversity; which paints our campus in different strokes and which allows us both to appreciate the uniqueness within ourselves as well as in others. Moreover, we do not see UCLA as an isolated outpost in the greater Los Angeles area, disconnected and aloof from its surrounding environment. Instead, we see the two entities as active partners in a fruitful relationship that is continuing to evolve in significant and important ways. Thus, not only do we hope to advocate student engagement on campus, but we also hope to extend that engagement to the community of Los Angeles. As citizens and students of this active, moving city, we must recognize our own interdependence, our own parallel currents; we must become more conscious of the direction in which we are moving; and the Office of the Internal Vice President is committed to doing this.",Category:,,,,,,,,
"Student Government - USAC Affiliated, Leadership",Email:,,,Social Media:,,,,,
"The Office of the President functions as an integral part of the Undergraduate Students Association Council by promoting leadership, education and retention. The office's primary responsibility is to act as an administrative component of the entire council while facilitating programs and leadership development that bring different campus entities together.",Category:,,,,,,,,
"Student Government - USAC Affiliated, Leadership",Email:,,,USAC Student Wellness Commission (SWC),,,,,
The purpose of SWC is to advocate on behalf of the students regarding health and general well-being; to plan programs to improve student welfare and the community around them and to educate and increase awareness through various forms of media.,Category:,,,,,,,,
"Student Government - USAC Affiliated, Health and Wellness",Email:,,,Social Media:,,,,,
The Graduate Students Association of the Department of European Languages and Transcultural Studies is responsible for student programming of events as well as representation/communication of student issues to department faculty and staff. The GSA Board is elected from a democratically nominated pool of candidates representing all language sections in accordance with our constitution. The result of this collaboration is an even distribution of both GSA responsibilities and representation within the department.,Category:,,,,,,,,
"Student Government - GSA Affiliated, GSA Affiliated",Email:,,,,,,,,
"The Graduate Student Association of Archaeology (GSAA) encourages the investigation of material culture and human behavior through archaeological research, discussion, and collaboration. It is the principal organizing body for all graduate students in the Cotsen Institute of Archaeology, although it welcomes applications from any UCLA graduate student with an interest in archaeology. The GSAA functions as a forum for its members to elect representatives, make collective decisions, organize events, and share concerns and news that pertain to the Cotsen IoA, the broader UCLA community, and the discipline of archaeology as a whole. Such matters include, but are not limited to, teaching assistant responsibilities and experiences, graduate curriculum, graduate student funding, career possibilities, publishing opportunities, and research. The GSAA endeavors to serve the academic and social wellbeing of its members.",Category:,,,,,,,,
"Academic, GSA Affiliated",Email:,,,,,,,,
"The Iranian Graduate and Professional Association (IGPA) is dedicated to serving Iranian graduate and professional scholars across the UCLA campus. We estimate that there are approximately 500 Iranian graduate and professional scholars at UCLA, spanning various fields including medical, STEM, and non-STEM disciplines. Our primary focus is to foster a sense of community among these Iranian scholars, many of whom are thousands of miles away from their families and friends. We achieve this by organizing events that celebrate Iranian culture and scheduling both professional and informal gatherings where scholars can connect with their peers, seek guidance, and build a professional network. These gatherings are particularly beneficial during the Fall quarter, as newcomers can obtain helpful academic and non-academic information. For a more detailed overview of our group's foundation and objectives, please refer to our constitution. Additionally, our Instagram profile (@igpaatucla) offers insights into our past events and provides updates on upcoming ones.",Category:,,,,,,,,
"GSA Affiliated, International Students",Email:,,,,,,,,
"The Latine Graduate Student Association (LGSA) is an organization that strives to create a safe and welcoming space for Latine graduate students on campus across all departments and programs to come together and form community. LGSA promotes the advancement of Latines in academia and professional spaces and strives to uplift our Latine community, especially in the LA area, through community service projects and initiatives. Through their work and community-building efforts, LGSA members uphold it's four pillars which are Comunidad, Herencia, Growth, and Service.",Category:,,,,,,,,
"Cultural/Ethnic, GSA Affiliated",Email:,,,,,,,,
"The PhD Student Nursing Association aims to foster peer-to-peer and faculty-student mentorship, build a supportive community among students, enhance relationships between students and faculty, and provide professional development opportunities for students. Events will include quarterly social events for students across all years to gather in person, meet with faculty, and engage in professional development. The group will also share institutional knowledge about progression through the program and will collect and maintain lists of current students and their dissertation topics, conferences, networking events, funding opportunities, and potential cognate classes.",Category:,,,,,,,,
"GSA Affiliated, Academic",Email:,,,,,,,,
"With a mission to uphold the spirit of mutual support among overseas Chinese, CU is dedicated to creating a sense of security for international students as they transition to unfamiliar cities. From organizing airport pickups during summer to facilitating mobile phone setup and bank account registration, CU provides comprehensive support to ensure a smooth start for new students. Through freshman group chats, Q&A sessions at meetups in China, and our readiness to handle emergencies, we stand by our members every step of the way. Guided by the principles of ""service as its core, charity as its purpose, and activities as its foundation,"" CU continues to expand its influence, advocate for international students, and work together to support those in need.",Category:,,,,,,,,
"International Students, Community Service",Email:,,,CSSA@UCLA,,,,,
"CSSA@UCLA(Chinese Students and Scholars Association) is a non-profit organization run by volunteer Chinese students and scholars at UCLA. With over 3,000 members to date across 7 departments, CSSA is a prestigious and vibrant organization in Southern California. Its events welcome all UCLA students, and it is dedicated to enriching the extracurricular lives of the Chinese student body while promoting Chinese culture to the broader community.",Category:,,,,,,,,
"Cultural, International Students",Email:,,,,,,,,
GSN aims to connect international and multicultural students in order to promote success and increase their levels of comfort in a new society. We will work to bridge the gap between the U.S. system and the international system. We will promote the exchange and encouragement of cultural and intellectual diversity. We will motivate and equip members with the necessary skills to become effective and productive citizens of an increasingly diverse and globalized society.,Category:,,,,,,,,
"International Students, Social",Email:,,,,,,,,
Indonesian students club at UCLA,Category:,,,,,,,,
"Cultural, International Students",Email:,,,Social Media:,,,,,
"International Medical Student Alliance (IMSA) is dedicated to supporting international medical students and premedical students navigating the complex processes of medical school admissions and residency applications. Our mission is to provide tailored guidance, resources, and mentorship to help international students succeed in their medical careers. IMSA offers workshops, personalized advising, and peer-to-peer support focused on the unique challenges faced by students with visa sponsorships, such as understanding U.S. residency requirements, preparing competitive applications, and accessing financial and legal resources. Our alliance fosters a collaborative environment where students can connect, share experiences, and empower one another to thrive in their journey toward becoming healthcare professionals.",Category:,,,,,,,,
"International Students, Community Service",Email:,,,,,,,,
The Malaysian Students Association at UCLA is a cultural student organization open to students and faculty of all nationalities that aims to represent the Malaysian community at UCLA and: 1. Assist in the transition of new UCLA students with Malaysian roots or anyone who interested in joining the club . 2. Promote interactions between members and the community. 3. Promote Malaysian culture to UCLA community. 4. Provide a social support system,Category:,,,,,,,,
"Cultural/Ethnic, International Students",Email:,,,Social Media:,,,,,
"Polish Bruins is a club that creates a welcoming community for Polish students and those interested in Polish culture and language at UCLA. This club is a space to share cultural traditions and experiences, find friendships, and support students interested in and from Poland and Polish culture. This club will celebrate cultural traditions and Polish heritage.",Category:,,,,,,,,
"Cultural, International Students",Email:,,,,,,,,
