Name,Full Description,Category,Email,Website,Facebook,Instagram,Twitter,YouTube,LinkedIn
Archery,"UCLA Archery is a beginner-friendly club open to all experience levels. We have a flexible practice schedule, allowing archers to dictate how much time and focus they dedicate to shooting. Our instructors will teach you everything you need to know and there are always experienced archers around to answer any questions or give you a helping hand. We attend tournaments in California as well as other states. All tournaments are open to everyone, regardless of skill level, but competing is a completely optional part of our club. For more information, feel free to check us out at the links below!",,,,,,,,
Artistic Swimming,"Artistic swimming is team sport that combines dance, gymnastics, and swimming. Artistic swimming combines artistry and athletics and allows students to discover unique strengths that will contribute to the team as a whole. Members can choose to swim recreationally or competitively. Our competitive team competes against local collegiate teams and then finishes the season competing at Collegiate Nationals. All members are welcome to perform in our annual spring show.",,,,,,,,
Badminton,"Club Badminton is for both recreational players and competitive players. We hope to create a space where all skill levels are welcome, a place for all players to build critical teamwork skills and for everyone to come together and experience a community of badminton enthusiasts. From club, we will select a team to compete and represent UCLA against other schools.",,,,,,,,
Baseball,"Competitive baseball team practicing 2-3 times per week with 2 tournaments and a scheduled 3-game series in the Fall. Winter/Spring season consists of 2-3 practices per week, a complete conference schedule, and potential non-conference games scheduled at will.",,,,,,,,
"Basketball, Men's",UCLA Men's Club Basketball Team.,,,,,,,,
"Basketball, Women's",Intercollegiate Women's Club Basketball Team,,,,,,,,
"Beach Volleyball, M&W",Organized play against other universities in California and surrounding regions.,,,,,,,,
Boxing,A group focused on the study and practice of boxing to build Bruin champions inside the ring that lead outside the ring.,,,,,,,,
Brazilian Jiu-Jitsu,"The UCLA Brazilian Jiu Jitsu Club (UCLA BJJ) is open to all experience levels and provides optional competition opportunities. Practices are free and open to all for Week 1 and Week 2 of every quarter. Brazilian Jiu-Jitsu is a martial art and combat sport based on ground fighting and submission holds. BJJ focuses on the skill of taking an opponent to the ground, controlling one's opponent, gaining a dominant position, and using a number of techniques to force them into submission via joint locks or chokeholds. Here at UCLA, we train primarily Nogi and encourage Gi participation.",,,,,,,,
Climbing,"Climbing team is a club sport that participates in informal practices, outdoor climbing trips, and USA Climbing competitions, as well as serving as UCLA's main climbing community (hosting climbing-centric movie nights, teaching basic classes and workshops, and welcoming new climbers into the sport).",,,,,,,,
