event_id,event_link,event_name,event_tags,event_programe,date,start_time,all_day,end_time,event_description,event_location
134,https://community.ucla.edu/event/be27beab-ae41-4fd3-b6e8-f38ab3acb823,Office Closed in Observance of Memorial Day Holiday,,Financial Aid and Scholarships,2025-05-26,00:00:00,T,23:59:59,"The UCLA Financial Aid and Scholarships Office will be closed on Monday, May 26, 2025 in Observance of the Memorial Day holiday. We will resume to regular operating hours on Tuesday, May 27, 2025.",A129 Murphy Hall
135,https://community.ucla.edu/event/9b9d54ed-4b1c-07fe-0e85-295d40e4b784,Bruin Professionals Encino Chapter Meeting,,Alumni,2025-05-26,07:00:00,F,09:00:00,Join BP Encino Chapter on their monthly meeting! How a Registered Investment Advisor is utilizing and applying AI and machine learning This session will cover the Liquid Leaders Equity Strategy and how a financial advisor is using AI and machine...,"Merrill Lynch, Pierce, Fenner & Smith Inc. • Encino CA"
136,https://community.ucla.edu/event/97c4dfb4-714c-4e2f-8598-a5ba492f459d,Food Studies Resources at the UCLA Library and Beyond,"#Undergraduate, #GraduateProfessional, #Educational, #Research",Library,2025-05-27,13:00:00,F,14:00:00,"Food studies is a growing interdisciplinary field that examines the cultural, economic, political and environmental dimensions of food. Research resources in food studies are equally broad, and can present a challenge for beginner researchers and...",[Digital Event](https://www.library.ucla.edu/visit/events-exhibitions/food-studies-resources-at-the-ucla-library-and-beyond-05-27-25/)
137,https://community.ucla.edu/event/1cd2967b-c1aa-4996-adaf-168bb5d89e44,Movement and Meditation,"#Undergraduate, #GraduateProfessional, #Health, #MyWellBeing",Resilience In Your Student Experience (RISE) Center,2025-05-27,13:15:00,F,14:00:00,"Take some time to relax, stretch, and breathe through movement and meditation.",RISE Center at Lu Valle Commons Basement Level
138,https://community.ucla.edu/event/33c78703-1398-4264-b28b-c33863bb6639,Crossroads of Cultures: The Jezreel Valley in the Bronze and Iron Ages,"#Educational, #Academic",Alan D. Leve Center for Jewish Studies,2025-05-27,14:00:00,F,15:30:00,"The Jezreel Valley is Israel’s largest and most fertile valley. Strategically located in Northern Israel, this region played a pivotal role in the social, cultural, and economic developments of major political entities during the second and first...",314 Royce Hall
139,https://community.ucla.edu/event/ba5eadd6-e315-47a4-bcd7-f8ebac8f8295,SwD Presents: The Tassel was Worth the Hassle!,"#Undergraduate, #GraduateProfessional","Bruin Resource Center, Student with Dependents Program",2025-05-27,14:00:00,F,16:00:00,Join us for graduation cap decorating and light snacks! \*Bring Your Own Cap! We will have decoration supplies...,SAC
140,https://community.ucla.edu/event/d32c2009-f310-224c-c604-187c52b33cd2,UCLA Latino Alumni Association Networking Mixer in Santa Monica at Gilbert El Indio,,Alumni,2025-05-27,17:30:00,F,19:30:00,"Join the UCLA Latino Alumni Association (ULAA) for another unforgettable evening of connection, community, and Bruin spirit! This time, we’re heading to Santa Monica to connect with alumni where they live and work.",Gilbert El Indio Restaurant • Santa Monica CA
141,https://community.ucla.edu/event/2e040c4b-6cc9-f5c1-56d5-5ca52ac60d34,The Classroom - Spring Quarter 2025 - Week 10 - References Matter,,Alumni,2025-05-27,18:00:00,F,19:00:00,"Get ready to take the next big step—graduation is just around the corner! Your UCLA Alumni Association is here to cheer you on and support you as you launch your exciting career journey.  This Spring, The Classroom is here to offer a...",Zoom
142,https://community.ucla.edu/event/25a5f2f0-a24a-4b33-bcf2-3593bcacef76,Fighting Two Battles,"#Social, #Community",Hammer Museum,2025-05-27,19:30:00,F,21:30:00,Hammer Forum is made possible by the Rosenbloom Family Co-presented with the UCLA Center for the Study of Women. Among those fighting the L.A. fires earlier this year were incarcerated individuals participating in California’s controversial inmate...,hammer museum
143,https://community.ucla.edu/event/cb21bd55-13c8-4d23-a03f-82b2dd5362e3,Comics and Conquest: Political Cartoons and a Radical Retelling of the Navajo- Hopi Land Dispute,"#Educational, #Research",Institute of American Cultures,2025-05-27,00:00:00,T,23:59:59,[#Educational](https://community.ucla.edu/educational) [#Research](https://community.ucla.edu/educational/research),"Dr. Rhiannon Koehler’s book Comics and Conquest interprets editorial cartoons from the Navajo Times and the Hopi Newspaper Qua’Töqti, to reframe and decolonize historical understandings of the Navajo-Hopi land dispute, placing Native American people..."
144,https://community.ucla.edu/event/25511c70-9aaa-464a-87de-b26030507b4a,CPT Webinars (for F-1 Visa Students),"#Undergraduate, #GraduateProfessional, #Educational, #PreProfessional",Dashew Center for International Students and Scholars,2025-05-28,10:00:00,F,11:00:00,"UCLA F-1 visa students, do you want to know more about off-campus employment authorization? Join us on one of our weekly CPT webinars hosted by the Dashew Center staff to learn more!",[Zoom](https://ucla.zoom.us/j/95322790676)
145,https://community.ucla.edu/event/37695373-07f0-5eaf-e7e5-8c92a23d2a9a,2nd Act: AI in Healthcare,,Alumni,2025-05-28,11:00:00,F,13:00:00,"Join us for a special 2nd Act webinar exploring how artificial intelligence is transforming healthcare. Johnese Spisso, MPA, President of UCLA Health, will discuss real-world applications of AI—from predictive analytics to ambient transcription—that...",Zoom
146,https://community.ucla.edu/event/77ba1c2a-53c7-40fd-a799-2412ebd6dff9,Earth and Exchange: Tapia and the Construction of Early Modern Iberia,"#Educational, #Academic",Center for 17th- & 18th-Century Studies,2025-05-28,11:00:00,F,12:00:00,"In this presentation, UCLA doctoral candidate Rachel Schloss analyzes the social, cultural, and technological history of tapia, a system of rammed-earth building utilized on the Iberian Peninsula from the 11th to 17th centuries CE, from which...",[Zoom](https://ucla.zoom.us/meeting/register/qHytTYlcTiiINu5XzDQiew#/registration)
147,https://community.ucla.edu/event/41355c47-9a46-4ef8-8df9-9668c7b35520,Intro to Technical Reports,"#Undergraduate, #GraduateProfessional, #Educational, #Research",Library,2025-05-28,13:00:00,F,14:00:00,"Ever been curious about what technical reports are? Or how to find them? In this workshop you'll gain an introductory overview to technical reports, as well as guidance on how to locate them. This workshop will be offered via Zoom. If you're...",[Digital Event](https://www.library.ucla.edu/visit/events-exhibitions/intro-to-technical-reports-05-28-25/)
148,https://community.ucla.edu/event/4acebd9f-c14c-5cda-8903-1d8ed0fc2e49,Leaders 2 Leaders: Volunteer Board Recruitment and Engagement Strategies,,Alumni,2025-05-28,16:00:00,F,18:00:00,"Alumni leaders, to RSVP and for any questions, please contact your staff advisor. Strong boards do not form by chance. This Leaders 2 Leaders session will provide you with practical strategies for recruiting, engaging and retaining dedicated...",Zoom
149,https://community.ucla.edu/event/ebac2680-62bc-4e2c-aff0-08a7d6cac73d,Rediscovering a Modernist Visionary: Clara Porset,"#Arts, #Art",Hammer Museum,2025-05-28,19:30:00,F,21:30:00,"In an illuminating conversation celebrating the new book LIVING DESIGN: The Writings of Clara Porset, Hammer Museum Director Zoë Ryan will be joined by distinguished art historian Brenda Danilowitz, editor of Anni Albers: Selected Writings on...",hammer museum
150,https://community.ucla.edu/event/d275751a-d572-41d6-8457-b62363446cd5,Bring Your Own Syllabus: Co-Working and Consultation Session,"#GraduateProfessional, #FacultyStaff, #Educational, #Academic",Teaching and Learning Center,2025-05-28,13:00:00,F,15:00:00,"Please join us for the ""Bring Your Own Syllabus: Co-Working and Consultation Session,"" hosted by the UCLA Teaching and Learning Center (TLC) and facilitated by Sammy Solis. Are you looking to refresh, rewrite, or rethink your syllabus? Are you...","Powell Library, Room 190"
151,https://community.ucla.edu/event/907dffa1-b357-4b63-8879-697cad779585,"Bruin Love Station - Free Safer Sex Supplies, Narcan, & Fentanyl Test Strips",#Health,Health Education and Resource Team,2025-05-29,14:00:00,F,17:00:00,"Bruin Love Station is a mobile cart that offers free safer sex supplies, Narcan, fentanyl test strips and opportunities for students to converse with trained peers and professional staff. Brought to you by the Health Education and Resource Team...",Bruin Walk
152,https://community.ucla.edu/event/58f06851-bba5-4f4e-9bae-346da8b53273,Getting into Research & SRP-99 Workshop,"#Undergraduate, #Educational, #Research",Undergraduate Research Center – Sciences,2025-05-29,15:00:00,F,16:00:00,"This workshop introduces students to research in the sciences, how to find a faculty research mentor, and opportunities for student researchers after joining a lab. Download a copy of our slide deck and learn more about our workshops on our website.",[Digital Event](https://ucla.in/4grGiYb)
153,https://community.ucla.edu/event/45fea0d3-dd09-e9b8-4369-174cfb428918,UCLA Social Enterprise Academy Venture Showcase,,Alumni,2025-05-29,16:00:00,F,17:00:00,"UCLA Alumni Affairs, the UCLA Department of Economics, and the Academies for Social Entrepreneurship invite you to the UCLA Social Enterprise Academy Venture Showcase. Three student teams representing local community organizations will pitch...",Zoom
154,https://community.ucla.edu/event/94cead52-92a1-41e8-a472-b724d50b3c0e,David Nishida and Tina Yamano Nishida Distinguished Lecture and Panel,"#Educational, #Research",Institute of American Cultures,2025-05-29,17:00:00,F,19:00:00,"Main Speaker: Helen Zia, writer and activist. An outspoken leader about human rights across race, gender, orientation, and other identifiers. In conversation with Julie Ha, Journalist/Documentary Filmmaker, and Amber Phung, Pacific Ties Newsmagazine.",Fowler Museum
155,https://community.ucla.edu/event/2dc47954-fa20-417a-86d4-2f2ac96cf494,Telling Your New American Story: Applying to the Paul & Daisy Soros Fellowship for New Americans,"#GraduateProfessional, #Educational, #Academic",Graduate Writing Center,2025-05-29,18:00:00,F,19:00:00,[#GraduateProfessional](https://community.ucla.edu/grad) [#Educational](https://community.ucla.edu/educational) [#Academic](https://community.ucla.edu/educational/academic),"This workshop will provide guidance on preparing a competitive application for the Paul and Daisy Soros Fellowship for New Americans (https://www.pdsoros.org/), which provides up to $90K in support for graduate students from migrant backgrounds...."
157,https://community.ucla.edu/event/00d3afcc-6f66-41ca-8a58-054d05d847b7,Artist Talk: Lap-See Lam,"#Arts, #Art",Hammer Museum,2025-05-29,19:30:00,F,21:30:00,"Curator Pablo José Ramírez talks with Lap-See Lam about the artist’s immersive video installation, reflecting on Chinese folklore, mythology, and worldbuilding.",hammer museum
157,https://community.ucla.edu/event/e7f3b862-6234-478a-b707-14a51274941e,Artist Talk: Lap-See Lam,"#Arts, #Art",Hammer Museum,2025-05-29,19:30:00,F,21:30:00,"Curator Pablo José Ramírez talks with Lap-See Lam about the artist’s immersive video installation, reflecting on Chinese folklore, mythology, and worldbuilding.",hammer museum
158,https://community.ucla.edu/event/b0f1c0f1-d5de-4808-bab8-2367d29ecd0a,Donovan Meher and Select Sounds Collections Celebration,"#Arts, #Music",Library,2025-05-29,14:00:00,F,15:30:00,"Join UCLA Library to celebrate processing the Donovan Meher Collectio and the launching of Select Sounds, a new community collection. The Donovan Meher Collection documents rock music from approximately the 1980s to 2010. Hear about the...",Walter H. Rubsamen Music Library
159,https://community.ucla.edu/event/cd14c2fa-cd03-4729-8298-0176a09749d1,The Spook who Sat by the Door,,"Library, Film & Television Archive",2025-05-30,19:30:00,F,21:30:00,"Presented by the UCLA Film & Television Archive In-person: Introduction by Nomathande Dixon, daughter of Ivan Dixon; Natiki Hope Pressley, daughter of Sam Greenlee. Q&A with University of Hawaii Professor Christine Acham, actor J.A. Preston. ...",Billy Wilder Theater
160,https://community.ucla.edu/event/fe1b3adc-7e7b-31e3-1843-4b690f21ba1a,The Spook Who Sat by the Door,,Alumni,2025-05-30,19:30:00,F,21:30:00,"In-person: Professor Christine Acham, University of Hawaii; Nomathande Dixon, daughter of Ivan Dixon; UCLA Distinguished Professor Robin D.G. Kelley; Natiki Hope Pressley, daughter of Sam Greenlee; actor J.A. Preston.   The Spook Who Sat by the...",Billy Wilder Theater at the Hammer Museum
161,https://community.ucla.edu/event/01f40452-68f3-4c16-84f8-56ea59ef096a,Clark Library Nature and Garden Festival,#Educational,Center for 17th- & 18th-Century Studies,2025-05-30,11:00:00,F,14:00:00,"The Clark Library preserves and provides access to books, manuscripts, and artworks dating from the 15th century to the present. But there is a library of living things on the Clark’s five acre property, too. This event celebrates the urban nature...",UCLA William Andrews Clark Memorial LIbrary
